05/21/2021 11:08:40 am;0;0;0;0;0
05/21/2021 11:12:01 am;0.1;0.1;0.1;0.4;0
05/21/2021 11:12:27 am;0.1;0.1;0.1;0.4;0
05/21/2021 11:12:46 am;0.1;0.1;0.1;0;0
05/21/2021 11:13:02 am;0.1;0.1;0.1;0.3;0
05/21/2021 11:56:36 am;0.1;0.1;0.1;0.4;0.01
05/21/2021 02:44:17 pm;0.3;0;0;1.2;0
06/19/2021 11:39:37 am;4;4;4;0;0
06/19/2021 11:39:44 am;4;4;0;0;16
06/19/2021 01:23:35 pm;0;0;0;0;0
06/19/2021 02:37:06 pm;0;0;0;0;0
06/21/2021 04:32:56 pm;0.2;0.2;0;0;0
06/21/2021 04:33:02 pm;0.2;0.2;0;0;0.04
06/21/2022 02:47:33 pm;3;0;0;12;9
06/24/2022 04:57:45 pm;55;0;0;220;3025
